date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:26:00,bitstamp,btc_usd,2317.09,2220,4.3734234234,2317.1,2319.99,2154.28,2334,16646.09328042,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:26:00,okcoin,btc_usd,2442.78,2209.85,10.5405344254,2442.62,2442.71,2129.78,2465.37,4964.618,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:26:00,korbit,etc_krw,21750,24240,-10.2722772277,21750,21800,21000,24350,640659.9459994692,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:26:00,bitflyer,eth_btc,0.0968,0.10598,-8.6620117003,0.09678,0.0968,0.09678,0.0968,15354.4092916,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:26:00,korbit,eth_krw,291050,327800,-11.2111043319,291050,292500,274000,329450,245537.873708404,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:26:00,bitflyer,fx_btc_jpy,273900,263232,4.05269876,273890,273900,273890,273900,65580.5228805,2017-06-01 01:24:37,2017-06-01 01:24:37
2017-06-01,2017-06-01 10:26:00,okcoin,ltc_usd,27.121,24.632,10.1047417993,27.12,27.121,23.2,27.35,225268.303,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:27:00,bitstamp,btc_eur,2064.98,1994.81,3.5176282453,2064.98,2070,1955.9,2083.99,2139.75640804,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:27:00,bitflyer,btc_jpy,268100,263373,1.7947929363,268101,268300,268101,268300,65572.1850911,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:27:00,korbit,btc_krw,3054000,3141500,-2.7852936495,3054500,3054000,3002000,3150000,6435.52736038,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:27:00,bitstamp,btc_usd,2317.87,2220,4.4085585586,2317.88,2319.99,2154.28,2334,16672.22613549,2017-06-01 01:26:38,2017-06-01 01:26:38
